"Title","M&A : Inward : Value of acquisitions - direct transactions : Annual : £m","Africa Outward Disposals Value :£m                                      ","M&A : Inward : Number of acquisitions - direct transactions : Annual    ","Africa Outward Disposals Number                                         ","M&A : Inward : Value of disposals : £m                                  ","M&A : Inward : Value of disposals in USA : Annual : £m                  ","M&A : Inward : Number of disposals in USA : Annual                      ","M&A : Inward : Value of disposals in EU : Annual : £m                   ","M&A : Inward : Number of disposals in EU : Annual                       ","M&A : Inward : Value of acquisitions : £m                               ","M&A : Inward : Value of acquisitions in USA : Annual : £m               ","M&A : Inward : Number of acquisitions in USA : Annual                   ","M&A : Inward : Value of acquisitions in EU : Annual : £m                ","M&A : Inward : Number of acquisitions in EU : Annual                    ","M&A : Outward : Value of disposals - indirect funded locally : Annual : £m","M&A : Outward : Number of disposals - indirect funded locally : Annual  ","M&A : Outward : Value of disposals - indirect funded in UK : Annual : £m","Australasia & Oceania Outward Disposals Number                          ","Australasia & Oceania Outward Acquisitions Value :£m                    ","Africa Inward Acquisitions Number                                       ","Australasia & Oceania Outward Disposals Value :£m                       ","Africa Inward Disposals Number                                          ","Africa Inward Acquisitions Value :£m                                    ","M&A : Domestic : Sales of subsidiaries between groups : Total payments : £m","M&A : Domestic : M&A of independents : Total payments : £m              ","M&A : Domestic : Value of ordinary shares : £m                          ","M&A : Domestic : Value of preference & loan stock : £m                  ","Africa Inward Disposals Value :£m                                       ","Africa Outward Acquisitions Value :£m                                   ","M&A : Domestic : Number of companies acquired                           ","Africa Outward Acquisitions Number                                      ","Europe Total Inward Disposals Value: £m                                 ","Europe Total Outward Acquisitions Value :£m                             ","Europe Total Outward Acquisitions Number                                ","Europe Total Outward Disposals Value :£m                                ","Europe Total Outward Disposals Number                                   ","Other Europe Inward Acquisitions Value :£m                              ","Other Europe Inward Acquisitions Number                                 ","Other Europe Inward Disposals Number                                    ","Europe Total Inward Acquisitions Number                                 ","Europe Total Inward Disposals Number                                    ","Europe Total Inward Acquisitions Value: £m                              ","Other Americas Inward Disposals Value :£m                               ","Other Americas Outward Acquisitions Value :£m                           ","Other Americas Outward Acquisitions Number                              ","Other Americas Outward Disposals Value :£m                              ","Other Americas Outward Disposals Number                                 ","Americas Total Inward Acquisitions Value :£m                            ","Americas Total Inward Acquisitions Number                               ","Americas Total Inward Disposals Number                                  ","M&A : Domestic : Total expenditure - (Initial plus deferred payments) : £m","M&A : Inward : Value of disposals - indirect funded locally : Annual : £m","M&A : Inward : Number of disposals - indirect funded locally : Annual   ","M&A : Inward : Value of disposals - indirect by overseas parent : Annual : £m","Other Europe Outward Acquisitions Number                                ","M&A : Inward : Number of disposals - indirect by overseas parent : Annual","Other Europe Inward Disposals Value :£m                                 ","M&A : Inward : Value of disposals - direct transactions : Annual : £m   ","Other Europe Outward Disposals Number                                   ","M&A : Inward : Number of disposals - direct transactions : Annual       ","M&A : Domestic : M&A of independents : number acquired                  ","Other Europe Outward Acquisitions Value :£m                             ","M&A : Inward : Value of acquisitions - indirect funded locally : Annual : £m","Other Americas Inward Acquisitions Number                               ","M&A : Inward : Number of acquisitions - indirect funded locally : Annual","Other Europe Outward Disposals Value :£m                                ","M&A : Inward : Value of acquisitions - indirect by overseas parent : Annual : £m","Other Americas Inward Disposals Number                                  ","M&A : Domestic : Sales of subsidiaries between groups : number acquired ","Other Americas Inward Acquisitions Value :£m                            ","M&A : Inward : Number of acquisitions - indirect by overseas parent : Annual","M&A : Domestic : Cash expenditure on M&A of independent companies : £m  ","M&A : Domestic : Cash expenditure on M&A of subsidiaries : £m           ","M&A : Domestic : Percentage of M&A in cash                              ","M&A : Domestic : Percentage of M&A in ordinary shares                   ","M&A : Domestic : Percentage of M&A in fixed interest securities         ","M&A : Outward : Value of acquisitions in USA : Annual : £m              ","Asia Outward Acquisitions Value :£m                                     ","M&A : Outward : Number of acquisitions in USA : Annual                  ","Asia Outward Acquisitions Number                                        ","Asia Ouward Disposals Value :£m                                         ","Asia Outward Disposals Number                                           ","Australasia & Oceania Inward Acquisitions Value :£m                     ","Australasia & Oceania Inward Acquisitions Number                        ","M&A : Outward : Value of acquisitions in EU : Annual : £m               ","Australasia & Oceania Inward Disposals Number                           ","M&A : Outward : Number of acquisitions in EU : Annual                   ","M&A : Inward : Number of disposals                                      ","M&A : Inward : Number of acquisitions                                   ","M&A : Outward : Number of disposals                                     ","M&A : Outward : Number of acquisitions                                  ","Australasia & Oceania Outward Acquisitions Number                       ","Australasia & Oceania Inward Disposals Value :£m                        ","M&A : Outward : Number of disposals - indirect funded in UK : Annual    ","Americas Total Outward Acquisitions Number                              ","M&A : Outward : Value of disposals - direct transactions : Annual : £m  ","Americas Total Inward Disposals Value :£m                               ","M&A : Outward : Number of disposals - direct transactions : Annual      ","Americas Total Outward Disposals Number                                 ","Americas Total Outward Acquisitions Value :£m                           ","Asia Inward Acquisitions Number                                         ","Americas Total Outward Disposals Value :£m                              ","Asia Inward Disposals Number                                            ","Asia Inward Acquisitions Value :£m                                      ","M&A : Outward : Value of acquisitions - indirect funded locally : Annual : £m","M&A : Outward : Number of acquisitions - indirect funded locally : Annual","M&A : Outward : Value of acquisitions - indirect funded in UK : Annual : £m","M&A : Outward : Number of acquisitions - indirect funded in UK : Annual ","M&A : Outward : Value of acquisitions - direct transactions : Annual : £m","M&A : Outward : Number of acquisitions - direct transactions : Annual   ","M&A : Outward : Value of disposals : £m                                 ","M&A : Outward : Value of disposals in USA : Annual : £m                 ","M&A : Outward : Number of disposals in USA : Annual                     ","M&A : Outward : Value of disposals in EU : Annual : £m                  ","M&A : Outward : Number of disposals in EU : Annual                      ","M&A : Outward : Value of acquisitions : £m                              ","Asia Inward Disposals Value :£m                                         "
"1999","34888","0","179","0","5518","0","0","1433","17","60860","22597","117","36875","108","3315","52","1250","0","0","0","0","0","0","3952","22211","9592","351","0","0","493","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26163","963","12","232","0","11","0","4323","0","22","400","0","6023","0","36","0","19949","0","93","0","59","12605","3615","62","37","1","68939","0","196","0","0","0","0","0","35016","0","218","39","252","198","590","0","0","29","0","8021","0","139","0","0","0","0","0","0","6196","108","9788","116","95209","414","12586","6408","65","2482","77","111193","0"
"2000","56892","0","172","0","","754","15","3152","16","64618","18844","81","41554","105","8769","44","","0","0","0","0","0","0","6403","100513","65570","1272","0","0","587","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","106916","443","10","471","0","8","0","3985","0","29","466","0","3503","0","34","0","4223","0","121","0","54","33906","6168","37","62","1","39567","0","190","0","0","0","0","0","125868","0","231","43","227","168","557","0","0","20","0","14741","0","127","0","0","0","0","0","0","9262","93","12393","114","159630","384","29857","8097","61","4896","62","181285","0"
"2001","11697","0","113","0","4464","2119","22","1638","23","24382","7061","55","15820","70","5037","40","","0","0","0","0","0","0","7965","21029","12356","1445","0","0","492","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28994","2432","23","504","0","7","0","1528","0","40","319","0","4888","0","36","0","7797","0","173","0","33","8489","6704","52","43","5","9496","0","117","0","0","0","0","0","18340","0","137","62","162","139","371","0","0","17","0","22875","0","102","0","0","0","0","0","0","3925","35","8003","90","29545","268","28494","11113","36","12040","61","41473","0"
"2002","13729","0","93","0","7912","4274","31","1933","18","16798","4192","45","11628","55","1167","25","","0","0","0","0","0","0","8238","16998","6780","891","0","0","430","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25236","3610","14","85","0","3","0","4217","0","49","323","0","890","0","9","0","2179","0","107","0","25","9574","7991","69","27","4","9804","0","69","0","0","0","0","0","10297","0","106","60","117","128","262","0","0","8","0","5709","0","103","0","0","0","0","0","0","4070","44","5556","52","17000","185","7074","3810","34","1823","43","26626","0"
"2003","2978","0","76","0","3620","0","0","1553","25","9309","5803","49","920","41","459","28","","0","0","0","0","0","0","7725","10954","1667","873","0","0","558","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18679","2235","17","391","0","5","0","994","0","39","392","0","3298","0","34","0","3033","0","166","0","37","8956","7183","86","9","5","12903","0","57","0","0","0","0","0","4630","0","99","55","129","136","243","0","0","12","0","6920","0","105","0","0","0","0","0","0","2291","47","5422","54","13043","161","8643","2046","43","830","47","20756","0"
"2004","23527","0","128","0","5514","3064","21","1507","23","29928","11809","75","13936","51","1260","21","","0","0","0","0","0","0","8526","22882","10338","1168","0","0","741","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31408","1581","17","369","0","9","0","3564","0","38","577","0","3504","0","36","0","2897","0","164","0","39","12080","7822","63","33","4","10757","0","101","0","0","0","0","0","3466","0","117","54","178","118","305","0","0","17","0","3294","0","87","0","0","0","0","0","0","1383","71","8076","69","9250","186","5485","2438","24","1078","40","18709","0"
"2005","32193","460","175","9","8387","4736","15","1873","27","50280","11741","73","23907","89","5215","22","","5","738","3","2238","1","102","8858","16276","2768","431","7","2639","769","8","2389","6822","175","2168","58","3578","24","8","113","35","27485","0","3957","28","9","2","17867","87","18","25134","2240","17","1488","18","10","516","4659","11","47","604","1766","6708","14","45","109","11379","3","165","6126","61","13425","8510","87","11","2","15683","2893","112","26","760","12","3589","17","5056","4","157","61","242","110","365","14","1242","13","140","6530","4736","85","26","19640","22","7042","3","1237","6987","83","5511","69","20234","239","12668","7033","24","2059","47","32732","13"
"2006","53578","","178","1","14208","1953","22","8670","16","77750","7606","84","42412","92","1752","21","1860","4","692","5","14","1","","8331","20180","","335","1","","779","21","","18928","170","5217","40","2619","27","5","119","21","45031","1703","","25","","10","10874","98","25","28511","6039","15","1923","39","12","","6246","7","39","628","5962","18049","14","57","2019","6123","3","151","3268","63","","8131","","","2","7348","1643","138","37","8085","9","","13","12966","2","131","55","259","89","405","14","","20","163","17602","3656","65","35","","24","","6","14017","3114","54","5498","96","28800","277","21214","7273","25","3198","33","37412","204"
"2007","62475","29","200","5","7524","3063","31","2851","12","82121","14270","79","27489","94","1178","20","1393","3","1306","3","533","0","320","6999","19779","4909","1691","0","911","869","26","","8459","199","4615","50","12407","33","4","127","16","39896","701","25040","38","195","10","19515","107","44","26778","3260","25","226","29","10","","4038","6","49","698","1062","12705","28","63","1032","6941","13","171","5245","52","13671","6507","76","18","6","21676","422","115","35","195","8","6900","13","7397","1","170","66","269","104","441","28","","8","153","7650","3764","87","38","46716","19","4849","5","15490","8120","66","14814","105","34880","289","10221","4654","28","3583","44","57814",""
"2008","36101","","179","2","5139","1359","12","2628","18","52552","8269","74","17918","85","3657","15","1021","2","5224","4","234","2","","3000","33469","1910","375","93","666","558","11","3075","15333","131","","32","11063","40","9","125","27","28981","","394","17","1033","6","17576","90","16","36469","2972","15","682","29","9","447","1485","2","29","445","1720","7712","16","53","","8739","4","113","9307","50","31333","2851","94","5","1","7244","809","88","29","388","7","","7","13613","1","102","49","252","71","298","22","","9","105","7384","","54","28","7638","26","7230","3","4839","5010","44","6688","75","17972","196","12062","6197","22","3598","30","29670",""
"2009","21091","","87","4","7820","4648","10","1370","12","31984","11594","31","15277","32","","3","","3","609","0","1002","3","0","740","11455","8435","114","0","1610","286","6","","1969","44","2198","18","3939","19","6","51","18","19216","42","1746","7","536","2","12480","45","14","12195","1248","7","0","8","0","","6572","3","32","198","169","","14","10","64","","4","88","886","20","2937","709","30","69","1","3250","964","34","14","","3","89","4","1800","1","36","38","112","37","118","13","","2","41","4198","4690","33","9","4996","12","1813","2","199","162","11","2530","17","7456","97","5101","1277","7","2134","15","10148",""
"2010","33540","531","161","6","9891","1216","15","6722","19","36643","19124","85","3856","47","2917","15","71","5","667","2","609","0","204","4830","7775","1560","350","0","526","325","7","6993","3450","84","1792","32","4079","29","10","76","29","7935","642","918","20","897","4","24280","115","23","12605","4002","15","928","18","5","271","4961","5","43","243","471","1416","30","34","263","1687","8","82","5156","36","6175","4520","85","12","3","6223","630","53","16","117","11","14","3","2979","3","66","58","212","73","199","19","7","4","73","8423","1858","59","19","7141","16","8362","3","4210","741","26","1166","38","10507","149","11411","7465","15","1529","27","12414","1033"
"2011","17112","","158","2","11748","2993","18","6539","26","32967","21489","87","6238","69","980","13","598","5","7666","4","","0","26","2824","5265","719","271","0","583","373","19","6933","23426","104","4914","36","1395","23","9","92","35","7633","687","2410","30","1559","9","23179","109","24","8089","1969","22","1190","29","9","394","8589","4","49","276","2760","3257","22","49","57","12598","6","97","1690","50","4432","2667","87","10","4","9342","6807","83","33","","10","762","14","20666","2","75","69","237","80","286","16","","6","113","12533","3680","66","27","11752","18","6274","8","1367","8323","35","4999","47","36912","223","14111","4715","18","4857","32","50234",""
"2012","11659","46","103","6","","","4","1054","11","17414","6217","50","3533","53","","11","","3","","3","","","","877","2536","419","268","","","266","5","","8774","46","2764","17","1094","21","7","74","18","4627","","2640","18","2189","6","10473","71","7","3413","96","6","","12","","","5821","","23","216","842","1538","21","35","","4217","3","50","4256","48","1937","789","82","10","8","5384","458","41","7","1220","2","","1","7932","0","34","27","161","40","122","5","0","3","59","5817","3601","30","13","8024","12","3227","","2277","316","19","8094","29","9523","83","","1038","7","","","17933",""
"2013","8391","","94","","1913","","8","862","9","31839","3408","54","","35","","","","4","","3","","0","","3530","4135","353","147","0","","238","","898","6592","23","1717","15","","18","3","53","12","24172","","323","13","0","0","4937","70","10","7665","","9","","7","3","36","1541","3","19","175","376","","16","25","128","","2","63","1529","39","3690","3475","92","6","2","600","","8","","","","","2","6216","1","16","26","141","","58","","","2","21","5682","611","28","9","923","13","3691","3","","","4","","11","2935","44","","3691","9","1589","12","","328"
"2014","10404","","78","","2794","","","","","15041","6318","42","4681","31","355","11","323","","","","","","","2063","5968","2782","51","","","189","","1949","13683","48","2887","18","700","14","","45","13","5381","","1135","17","","","7635","50","8","8032","","","","15","","","2415","","17","150","2279","1934","8","61","","2702","","39","1317","27","3249","1947","65","35","0","4987","637","27","12","","","","","11404","0","33","23","110","36","113","","0","7","44","4610","809","28","14","6122","12","2228","","1932","6118","77","7641","35","6888","79","5288","","","","","20647",""
"2015","29009","73","150","4","7451","","","1117","10","33335","11083","48","5816","34","1222","8","0","","859","","","0","","2280","4640","1418","265","0","","245","","4516","15427","71","6811","22","2004","14","10","48","20","7820","","2381","18","","","20137","73","13","6920","","","","16","","3399","7006","4","38","194","7715","3620","25","39","541","707","","51","9052","14","3365","1871","74","22","4","6136","649","61","8","","","","","7712","0","55","35","145","42","170","9","0","0","79","16617","2911","44","10","8517","17","2828","","4680","2641","83","1323","30","21604","155","16852","","","6270","18","25561",""
"1969 Q1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","235","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1969 Q2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","236","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1969 Q3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","187","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1969 Q4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","188","","","","","","","","","","","","","","","","","","","","","1069","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1970 Q1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","206","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1970 Q2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","203","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1970 Q3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","178","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1970 Q4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","206","","","","","","","","","","","","","","","","","","","","","1122","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1971 Q1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","159","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1971 Q2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","219","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1971 Q3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","225","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1971 Q4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","281","","","","","","","","","","","","","","","","","","","","","911","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1972 Q1","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","278","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1972 Q2","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","326","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1972 Q3","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","285","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1972 Q4","","","","","","","","","","","","","","","","","","","","","","","","","","1459","580","","","321","","","","","","","","","","","","","","","","","","","","","2532","","","","","","","","","","938","","","","","","","","272","","","373","120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1973 Q1","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","362","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1973 Q2","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","256","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1973 Q3","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","276","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1973 Q4","","","","","","","","","","","","","","","","","","","","","","","","","","466","147","","","311","","","","","","","","","","","","","","","","","","","","","1304","","","","","","","","","","951","","","","","","","","254","","","473","218","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1974 Q1","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","191","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1974 Q2","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","128","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1974 Q3","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","101","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1974 Q4","","","","","","","","","","","","","","","","","","","","","","","","","","114","47","","","84","","","","","","","","","","","","","","","","","","","","","508","","","","","","","","","","367","","","","","","","","137","","","284","63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1975 Q1","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","56","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1975 Q2","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","99","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1975 Q3","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","88","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1975 Q4","","","","","","","","","","","","","","","","","","","","","","","","","","93","25","","","72","","","","","","","","","","","","","","","","","","","","","291","","","","","","","","","","200","","","","","","","","115","","","113","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1976 Q1","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","93","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1976 Q2","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","93","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1976 Q3","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","95","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1976 Q4","","","","","","","","","","","","","","","","","","","","","","","","","","120","7","","","72","","","","","","","","","","","","","","","","","","","","","448","","","","","","","","","","242","","","","","","","","111","","","240","81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1977 Q1","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","101","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1977 Q2","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","112","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1977 Q3","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","144","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1977 Q4","","","","","","","","","","","","","","","","","","","","","","","","","","304","8","","","124","","","","","","","","","","","","","","","","","","","","","824","","","","","","","","","","372","","","","","","","","109","","","433","79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1978 Q1","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","137","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1978 Q2","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","131","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1978 Q3","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","141","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1978 Q4","","","","","","","","","","","","","","","","","","","","","","","","","","463","23","","","158","","","","","","","","","","","","","","","","","","","","","1140","","","","","","","","","","441","","","","","","","","126","","","505","149","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1979 Q1","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","134","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1979 Q2","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","136","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1979 Q3","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","124","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1979 Q4","","","","","","","","","","","","","","","","","","","","","","","","","","515","208","","","140","","","","","","","","","","","","","","","","","","","","","1656","","","","","","","","","","417","","","","","","","","117","","","780","153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1980 Q1","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","138","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1980 Q2","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","99","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1980 Q3","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","116","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1980 Q4","","","","","","","","","","","","","","","","","","","","","","","","","","669","46","","","116","","","","","","","","","","","","","","","","","","","","","1475","","","","","","","","","","368","","","","","","","","101","","","623","137","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1981 Q1","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","120","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1981 Q2","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","110","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
